,Var1,new
1,Mean (SD),26.84 (9.21)
2,"Median [Min, Max]","24 [18,61]"
3,Female,54 (48.6%)
4,Gender Non-Binary,2 (1.8%)
5,Male,55 (49.5%)
6,Primary School,4 (3.6%)
7,GCSes or Equivalent,8 (7.2%)
8,A-Levels or Equivalent,32 (28.8%)
9,University Post-Graduate Program,21 (18.9%)
10,University Undergraduate Program,44 (39.6%)
11,Doctoral Degree,1 (0.9%)
12,Prefer not to answer,1 (0.9%)
13,African,8 (7.2%)
14,Asian,6 (5.4%)
15,English,10 (9.0%)
16,European,77 (69.4%)
17,Latin American,2 (1.8%)
18,Scottish,2 (1.8%)
19,Other,6 (5.4%)
