"","subjectID","Age","Gender","Occupation","Education","Ethnicity","DoPLSum","dominanceSum","prestigeSum","leadershipSum","UMSSum","UMSIntimacySum","UMSAffiliationSum","riskSum","riskPerceptionSum","riskBenefitSum","ethicalQuestionsRiskSum","financialQuestionsRiskSum","healthAndSafetyQuestionsRiskSum","recreationalQuestionsRiskSum","socialQuestionsRiskSum","ethicalQuestionsBenefitSum","financialQuestionsBenefitSum","healthAndSafetyQuestionsBenefitSum","recreationalQuestionsBenefitSum","socialQuestionsBenefitSum","ethicalQuestionsPerceptionSum","financialQuestionsPerceptionSum","healthAndSafetyQuestionsPerceptionSum","recreationalQuestionsPerceptionSum","socialQuestionsPerceptionSum","ethicalpreference.riskBenefit_7","ethicalpreference.riskBenefit_10","ethicalpreference.riskBenefit_11","ethicalpreference.riskBenefit_21","ethicalpreference.riskBenefit_28","ethicalpreference.riskBenefit_29","ethicalpreference.riskBenefit_39","ethicalpreference.riskBenefit_40"
"1","1", 0.34267926,"1","teacher","5","3", 1.30707659, 1.51431298, 0.54784133, 0.79929547, 0.33117731,-0.6026810, 0.72328036,-1.29247035, 2.68210837,-2.14646205,-0.17942385,-1.20740180,-1.7030547,-0.31147730,-1.75616026,-1.87945195,-2.37435867,-1.98132981,-1.43469764,-1.75616026, 2.52923345, 1.68497470, 3.28018061, 0.88267998, 3.20865577,0.1196720,0.3405165,0.1196720,0.1196720,0.1196720,0.1196720,0.1932868,0.1196720
"2","2",-0.30880980,"0","Student","5","1", 1.22287142, 1.87271114,-0.31471736, 0.97568075,-0.09627247,-1.0008809, 0.34635961, 3.42525125,-1.84334826, 0.32629368, 3.09790044, 2.52839193, 2.7113192, 3.40116492, 0.30010334, 0.21839442, 0.27252323, 0.07620499, 0.56986592, 0.30010334,-1.93411970,-0.86441081,-1.84798908,-1.69567470,-1.59842238,1.3160089,1.3896238,0.7546479,0.7546479,0.9018776,0.3405165,0.8282627,0.8282627
"3","3",-0.30880980,"1","Housewife","3","2",-1.13487323,-1.17367328,-1.39291572,-0.08263094, 0.47366057,-1.3990809, 1.28866149,-0.09882994, 0.24141266,-1.56463717,-0.17942385,-0.74042759,-0.6643785,-0.07943716,-1.34490754,-1.64635791,-1.05091772,-1.52409986,-1.43469764,-1.34490754, 0.52072453,-0.16912386, 0.07507456, 0.88267998,-0.28740107,0.7546479,0.4141314,0.1196720,0.1932868,0.1932868,0.1932868,0.2669017,0.2669017
"4","4", 2.94863550,"0","technition","4","3",-0.29282157,-0.63607603, 0.11656199,-0.08263094,-0.23875573,-1.0008809, 0.15789923,-0.43987006,-1.28402216,-1.03129770,-0.43152572,-0.74042759,-0.4047094, 0.61668325,-1.34490754,-0.94707579,-0.67279173,-1.52409986,-0.09832194,-1.34490754,-1.04144907,-2.71850937,-0.77962039,-1.05108603,-0.06889752,1.3896238,0.4141314,0.9018776,0.1932868,0.8282627,0.2669017,0.1932868,0.1932868
"5","5", 0.45126077,"1","administrative ","4","3",-0.04020607,-0.27767786,-0.09907769, 0.27013962, 0.18869405, 0.1937189, 0.15789923,-0.83775019,-0.67384823,-0.78887067,-0.17942385,-0.97391470,-0.4047094,-0.77555758,-1.34490754,-0.48088771,-0.48372874,-0.60963994,-0.54378050,-1.34490754,-1.04144907,-0.16912386,-0.99329413,-1.05108603, 0.36810959,1.1687793,0.9018776,0.8282627,0.8282627,0.9018776,0.1196720,0.2669017,0.3405165
"6","6",-0.96029886,"0","unemployed","3","3", 0.54923009, 0.79751664,-0.09907769, 0.44652490, 0.33117731, 0.1937189, 0.34635961, 1.49269060, 0.44480397, 1.97479750, 1.58528923, 1.82793061, 1.4129739, 1.77688395, 1.12260878, 2.54933483, 0.65064922, 1.67650984, 3.01988804, 1.12260878,-0.37194610, 0.75792542, 0.92976950, 0.66781709,-0.06889752,1.7301403,1.3896238,1.7301403,1.8037551,1.1687793,1.2423941,1.2423941,1.1687793
"7","7",-0.20022829,"1","Doctor ","4","2",-2.39795072,-1.71127053,-0.96163638,-2.55202490, 0.90111035, 0.5919188, 0.91174074, 0.18537015, 0.03802135,-0.15856038, 0.32477988,-0.03996626, 0.6339668,-0.54351744,-0.11114938, 0.45148846,-1.05091772, 0.53343495,-0.32105122,-0.11114938, 0.07438922, 0.29440078,-0.56594666, 0.88267998,-0.50590462,1.2423941,0.3405165,0.6074182,1.2423941,1.8037551,0.1196720,0.3405165,1.2423941
"8","8",-0.96029886,"0","Student","3","3", 0.46502493, 0.25991939, 0.54784133, 0.27013962, 0.90111035, 0.1937189, 1.10020112, 0.07169011, 0.85158659, 0.18083746, 0.07267802, 0.19352085,-0.4047094, 0.61668325, 0.09447698, 0.68458250,-0.29466575,-0.15240999, 0.56986592, 0.09447698, 0.74389219, 0.06263846, 1.35711698, 0.66781709, 0.80511669,1.8037551,0.8282627,0.6810331,0.6810331,0.8282627,2.0706568,0.1196720,0.1932868
"9","9",-0.41739131,"0","Unemployed","1","3",-2.22954039,-1.53207144,-0.74599671,-2.55202490, 0.18869405,-0.2044810, 0.34635961,-0.15566996, 0.54649962, 0.08386665, 0.57688175,-0.27345337,-0.1450404, 0.61668325,-0.31677574,-0.48088771, 1.02877521,-0.15240999, 0.12440735,-0.31677574, 0.96705985, 0.98968774, 0.07507456, 0.02322842, 0.36810959,1.7301403,0.9018776,1.1687793,0.1932868,0.1196720,0.1932868,0.1932868,0.1932868
"10","10",-0.85171735,"0","Pupil","3","3",-0.04020607, 1.51431298,-0.74599671,-0.96455736,-0.52372225,-2.1954807, 0.34635961, 2.45897092,-0.01282648, 2.65359319, 2.08949296, 1.59444350, 2.4516501, 2.47300436, 1.73948786, 3.01552291, 2.16315317, 3.04819971, 1.90624162, 1.73948786,-0.59511375,-0.16912386, 0.28874829, 0.02322842, 0.36810959,2.2178865,1.7301403,1.8037551,1.8037551,1.3896238,1.7301403,0.6810331,1.1687793
